date,sessions
1-Jan-13,0
1-Feb-13,0
1-Mar-13,0
1-Apr-13,419
1-May-13,"103,534"
1-Jun-13,"463,750"
1-Jul-13,"403,362"
1-Aug-13,"475,458"
1-Sep-13,"523,108"
1-Oct-13,"613,583"
1-Nov-13,"706,737"
1-Dec-13,"721,827"
1-Jan-14,"1,047,779"
1-Feb-14,"1,085,578"
1-Mar-14,"1,047,896"
1-Apr-14,"1,179,984"
1-May-14,"1,070,833"
1-Jun-14,"998,772"
1-Jul-14,"1,224,006"
1-Aug-14,"1,179,073"
1-Sep-14,"1,250,930"
1-Oct-14,"1,581,503"
1-Nov-14,"1,964,592"
1-Dec-14,"2,099,891"
1-Jan-15,"2,713,260"
1-Feb-15,"1,979,149"
1-Mar-15,"2,108,523"
1-Apr-15,"1,659,099"
1-May-15,"1,758,703"
1-Jun-15,"2,023,760"
1-Jul-15,"1,898,990"
1-Aug-15,"1,736,873"
1-Sep-15,"2,041,892"
1-Oct-15,"2,020,558"
1-Nov-15,"1,854,077"
1-Dec-15,"2,236,722"
1-Jan-16,"2,316,521"
1-Feb-16,"1,979,592"
1-Mar-16,"2,273,689"
1-Apr-16,"1,455,241"
1-May-16,"1,356,480"
1-Jun-16,"1,172,184"
1-Jul-16,"1,387,478"
1-Aug-16,"1,490,362"
1-Sep-16,"1,671,696"
1-Oct-16,"2,118,886"
1-Nov-16,"1,932,283"
1-Dec-16,"2,171,426"
1-Jan-17,"2,186,522"
1-Feb-17,"1,808,819"
1-Mar-17,"1,704,761"
1-Apr-17,"1,179,506"
