,comments,label,x,y
0,"Hi
I have trouble with the default place for a forecast. We travel a lot so I want to be able to set a default (favourite) town for the forecast. Even when I set the ""star"" to a particular town, it won't default to that town.
Jenny",2,-6.358333999999999,-3.534628
1,"Apologies for my recent feedback about the time being wrong its UTC time, sorry.
I learnt something about timezones today.",5,-5.676451999999999,3.1055486
2,"The date and time on the rain radar is incorrect
Reads 23/3 time 2200
Its 24th and 0925
Not sure if its a different time zone",4,-6.7055416,2.7848697000000002
3,Your site is crap I put in post code and radar page shits it self,1,-3.0557833,2.3516892999999994
4,Useless focast today,3,6.4355206,6.4907694000000005
5,Radar no longer shows names of towns on iPad,1,-4.2024627,-3.4829347
6,"What the fuck are you loser being paid for?! If BOM was a private company you would've all been fired. Useless government scum - as with all government employees - responsible for nothing and accountable for nothing. Just think about that when you're lining up for your coffee on tax payer time, and then can't deliver anything. What a waste of money - you're just as bad as the politians!!",3,1.3606611000000002,1.1253351
7,"When I select Radar on my phone app for Launceston it shows Hobart Radar a little annoying as am Launceston based, any chance of changing to show the Radar from the NW Tas when viewing weather for Launceston",1,-2.5352416,-1.2296013000000001
8,"I get the message below when trying to set my location. Other apps have no similar problem. Im using iOS 11.2.5. 

An error occurred while finding your location. Please try again or search by place or postcode.",4,-9.674799,-2.8012807
9,"Mobile site, burpengary is my regular location, about 6 months ago the radar button stopped working, it used to load Brisbane radar, now blank. Using chrome or samsung internet browser.",1,-1.6693726000000002,-2.0143433
10,"Why is the app forecast always different to the website?  I live in Williamstown Victoria, less than 15 km and there is often huge variation in forecasts. E.g. according to the bom app the forcast is 34 Sunday 28th Jan but on the bom website it says 39! This is a significant difference and quite dangerous for extreme weather conditions.",3,-0.64353687,7.1668477
11,This app is coming up with error and doesnt work . Thanks Steve Koios,4,-4.3480916,2.1898912999999998
12,Great App but the BOM rain forecasts are bloody hopeless.,4,-6.462191000000001,4.1924224
13,Site always reports an error when I click on the my location button. Site never remembers my favourite location (Warragul) even though I have starred it. I always have to type in my postcode to get my local weather.,4,-7.697078,-4.3279953
14,"Ur website sucks, all the weather app predictions are always wrong, ""100% Chance of thunderstorms from 9am - 12pm"", yet it is 10:30am and not a single lightning strike nor thunder heard either.",3,5.455379,-3.188944
15,"The link to the Bairnsdale radar has stopped working ... Eg if your looking at weather for yarram, then switch to radar ... No radar appears",0,-2.9926405,-2.2428167
16,"Hi. I regularly use the m.bom website to check the weather for canberra. The links have been really broken in the last week, taking me to other towns, or the warning page or other radar sites. Today I can't get to canberra weather at all.I'll use the main site but I wanted to let you know the issues.",2,4.620092,9.821315
17,"I keep finding strange errors.

if I have left the page open in a tab, when I reopen the browser, the page will jump to the radar for a completely different town. Sometimes then the weather page wont load either.

My bookmark for my local weather often loads either to Warnings  or another town. I have tried deleting and resaving the bookmark.",2,3.8237547999999997,-4.811693
18,There seems to be a problem with the app for my iPhone. It is going to areas that I havent set and sometimes freezing . It was good until last week. Peter,4,-1.5028556999999998,-5.6592927
19,"Hi, over the last week or so, I've been experiencing problems with BOM pages loading properly. I click on the bookmarked site for Adelaide weather (http://m.bom.gov.au/sa/adelaide/) and the page loads as a 'warnings' page, or it gives me the weather page for other places around Australia (eg Werribee). It happens on both my iPad and my laptop, so it's not exclusive to one device. I thought I'd report it, just in case the BOM site has been hacked.",2,3.8331652000000003,-4.843308
20,"Hi, when I choose'radar' (Lower Plenty or Yering) page goes to 'warning summary'not radar.. Just annoying, used to work without errors.Now it is very fickle. Brendan.",1,-1.710382,-1.8178848
