,comments,label,x,y
0,Whaspp,4,-6.4534984,3.464943
1,I,4,-0.3891705,-1.1797745000000002
2,U Bffcffftrucffrcdrrdtfrtt ggg,4,7.2563033,-6.149225700000001
3,Why does the radar not work on mobiles? iPhone 7plus,1,13.782925,-12.268446
4,"I do not understand the Doppler charts.
How can I find out how to read them properly
Regards Norm  Hodgkinson",4,12.373612,9.355487
5,Why can I not get the satellite picture for east of the Tamar.,4,-8.48807,-12.17079
6,What happened to the rain in Renmark today?,4,-15.069918,-8.048303
7,oo,4,-4.961004,4.5816197
8,its a beatiful contry,4,3.6699580000000003,1.2847254
9,"Grafton radar wont load, just the colour code that goes underneath.",1,-14.441834,-12.868995
10,zayAZ AZz,4,3.79544,-3.157796
11,Hey s,4,-16.152004,0.5928207
12,Why isn't there a weather station collecting climate data in docklands or Port Melbourne? My students of Building Design regularly have commercial practice projects in these booming areas and can't research data specific to the suburb using the bom website.,4,1.9812433,-7.4118699999999995
13,"Hi. I have noticed over the past few weeks that your forecast and maximum temperatures have been incorrect. Is there any reason for this, as in, particular anomalies with the current weather system or is this symptomatic of unpredictable weather in this day and age?",4,-8.143552,17.211682999999997
14,H,4,-8.057689,-8.823846000000001
15,Tweeeiyi,4,4.980508,-0.122150615
16,Ogre and other,4,-5.493251,0.132904
17,I vmbmnlnbkl,4,-2.4596592999999998,2.4862217999999996
18,By alice,4,2.2651388999999997,3.5284529000000004
19,You tube,4,1.924623,-2.4902685
20,Freya is she u,4,7.527404,-6.5504017
21,N en di a kkkoo oop8po,5,4.816221700000001,2.9354079
22,Si i999,4,1.7685683999999997,-2.5623720000000003
23,Lll,4,2.3764336,-4.5013337
24,I always use this sight because it is up to date and correct,4,17.77414,-8.229319
25,Moon and sun icons are out of sync with celestial movements.,4,-4.046901999999999,10.611369999999999
26,Z,4,4.49584,4.375453
27,Need to look at app for weather zone as not working,2,16.931223000000003,17.008867000000002
28,Thirlere nsw,4,-11.784161,-0.8675177
29,ug,4,-4.066789,0.5667747
30,Cfhu9y6 mob  bo,4,4.935576999999999,0.37963405
31,Can bra,4,1.650522,1.8928145
32,"The radar being your only visual report, needs ""pause"" and speed control functionality.",1,-15.977957,8.780149
33,"Hi BOM team, 

The 24hr forecast temperatures (at the following link) for Sydney don't appear correct.

http://m.bom.gov.au/nsw/sydney/forecasts/

For eg. at 5.27pm (now) the 5pm temperature is listed as 26degC, but the actual temp listed for Sydney at this BOM page is 28.6degC. 

Peter",4,-5.471480400000001,-9.908417
34,"When you type in to view Berwick, it is such a false reading as it takes the details from Ferny Ck? 

Why is this? Ferny Ck has such different conditions, so the Berwick area us always usually a false reeding?  ;( 

Can't it be aligned to a different station more relevant? 

Thom",4,-7.7525754000000004,-4.793248
35,What has happened to the radar for Caboolture,1,12.823317,-14.576801000000001
36,CHi mt  L,4,-1.8739874,-9.63623
37,What has happened to the radar view or Cooranbong for the m.bom.gov.au website on PC and on mobile?,1,-4.9767547,-12.699016
38,". 
 -        ! 
       
  .   ICQ 656310373",4,-4.06864,2.9731473999999998
39,Ikobjjmg,4,-5.510367400000001,1.7888359
40,Hi there. Why is the Noarlunga readings not showing any rain readings. It has been showing zero for the psst couple of days.,4,13.223335999999998,9.40365
41,"I got this site as Merimbula radar weather, but it doesn't really show Merimbula. Is there another site where Merimbula is more central on the chart? Ron Murdoch.",4,-0.35397664,6.5397925
42,Lk,4,-4.8700323,4.5358553
43,Hey,4,-16.152006,0.5927644
44,The B.O.M. Mobile website seems to be not operating properly.com,4,9.923853,-2.4077742000000004
45,The pages displayed are not consistent with the location I have picked or the URL which is displaying. I've had this issue for a couple of days,0,-12.304129,11.459876
46,In the last few days the mobile site has been changing to random locations around the country and the favourite and recently visited locations keep changing. Sometimes tapping 'radar' switches to another locations forecast rather than the radar. I'm getting the same effect on both my iPhone and iPad. Is there some issue with the site at the moment?,0,-0.83086646,17.998482
47,Updates,4,-12.025599,-5.312641999999999
48,mobile links aren't working properly. links seem to send me to random pages from other parts of the sites - ie link for Sydney weather directing me to the radar for regional SA.,4,-7.466247,-14.9231
49,"In the last week there has been a lot of incorrect links, I keep getting the weather for a different place to one requested, for example I selected Wyoming nsw and got Shepperton Vic",4,-10.179657,-0.39718273
50,Leura nsw 2780 is coming up as Hurstville,4,-12.461872,-1.7681162
51,"Are you aware that http://m.bom.gov.au/nsw/leura/radar/ no longer produces a radar image on screen, just a government logo.
Please advise.",1,9.3683815,-15.700662
52,3e,4,-7.541328,5.600901
53,H,4,-8.03555,-8.824365
54,Lip op oyknlli0l00ll 0ppll0ll0 I'll l it 0lo0ulllo09j pin ol0jnil Pou opjl,4,-2.4504845,-9.104982000000001
55,The radar tab has list it's Hyper link to raft map view.,1,7.252207799999999,13.585760999999998
56,"The radar page is not showing the radar image for nw canberra, yass.",1,12.862658999999999,-17.433422
57,Sooo ..was there a storm predicted for tonight ??,4,4.401347,10.601027
58,Why does mobile site not give estimate of rain fall in 'mm' on the day  your looking!?,4,-18.161493,-6.7109
59,",  ,",4,-0.70886207,1.557598
60,Sorry but appears your radar isnt working properly. Its currently raining in Bet Bet but nothing is showing on the radar.,1,7.389924000000001,-13.662732
61,BbVvmvcvmm .n.6,5,4.968618,3.174892
62,Location finder not working on m site. iOS 10.3.3. Safari.,0,5.309983,-14.358228
63,",  ,",4,-1.493033,0.7645272
64,Dw,4,-4.232535400000001,-0.56450427
65,"Need to be able to store more than two locations. Personally, I need 3.",0,-21.482347,8.487336
66,RxzZA,4,-1.8485231,-5.9211893
67,09417032828,4,-0.3235617,0.54040426
68,How can I make my current location (Gawler) my favourite. It always shows Adelaide even though I select the favourite button.,0,4.4650435,22.575994
69,NnimmzmzmzmzmzmmznimmmmzmzZizcizz,4,-4.552018599999999,-4.6337019999999995
70,Blv,4,0.77385676,4.594540599999999
71,"Hi,
To be frank and honest, I would use BOM over Weatherzone but you have one very, very annoying point. The Radar. When I want to see the Radar for Armidale, your system seems to think we are close to Newcastle.
It is so very annoying that it will not revert to the nearest Radar which is Namoi NOT NEWCASTLE......
Can somebody please explain to me why this is not happening or is it a case nobody has ever pointed this out to you.
I would like to use BOM but unless this issue can be resolved I just will not use it in future.
You can not even ask the app or the mobile website to pick another Radar location........
Regards,
Nigel",1,15.696629000000001,-11.028414999999999
72,Live in lulworth and can't get the radar for my part of the state.Why not.  Athol preston,1,9.943142,-10.469373
73,"Huh.,,,,.!",4,-7.339836,-1.5140427
74,2 equipment,4,-4.051483999999999,-7.135781
75,fx-brokers-review.com/index_no.html Analyse og sammenligning av sikre og topp Forex selskaper,4,-0.10295657,-5.593955
76,",  ,   .  a href=http://ledbegorod.ruledbelgorod.ru/a",4,6.195107,-1.6085266000000003
77,Ht,4,-6.266468499999999,0.0841404
78,"Hi - Why is there frequently / always a long, thin band of cloud extending NNE of Burra? It appears to be permenant, or at least on my mobile it does. Regards, Graham",4,-1.2784766,9.614754
79,Khajuraho  jhansi  weather  not com,4,2.0968926,7.5787144
80,Sex,4,-1.5050963,-3.5583286
81,"Now I am going to do my breakfast, when having my breakfast coming yet again to read further news.
educational sites http://educationtip.eu/",4,13.378279999999998,7.6709323000000005
82,Weather,4,-3.4002828999999997,-26.177457999999998
83,Hhh,4,5.1867532999999995,-1.9936043
84,How do you set a 'favourite location' in the weather section?,0,3.4843702000000003,21.939404999999997
85,"Just wanted to raise a concern. When i updated to android 7 on samsung galaxy s7 and s6, i lost the ability to use location services. Other mobile websites still locate.",0,-3.1739137000000004,20.242085
86,A,4,0.06984832,-0.0043947287
87,"I live 7kms out of Morgan. I took 25ml out of my rain gauge at 7pm on thursday 20th of April.
A lot more than the 10ml u have on your Morgan weather site!",4,6.5185002999999995,-4.997380000000001
88,"radarloopoften showsalineof cloud from st helens to cape liptrap, why?",4,-1.1769778,8.493957
89,"Double Island Point wind observation not working since yesterday 9am. All reports showing ""-""",3,4.318691,-14.862217000000001
90,I really  the weather this week,4,1.4772272,-15.952501999999999
91,Weather,4,-3.0004797,-26.419321000000004
92,Weather,4,-2.6619046,-25.426476
93,Mnmmkmumjmjuimilmmlullmkmmlmmllmilmmi,4,-5.6403008,-3.3724566
94,"Guys the mobile website m.bom.gov.au is excellent but one thing drives me spare... the warnings screen takes over the whole menu bar which is totally unnecessary, even on a small screen mobile device. After checking warnings, the next thing is the radar, two selections to get there at present. 
It would be so good if the radar menu item was directly available from the warnings screen, there is plenty of room to put it there. Have a look it makes sense.",4,-3.9070443999999998,-17.446410999999998
95,Google,4,5.812346499999999,4.681669
96,",,",4,-0.6699562,-0.66603875
97,Weather,4,-2.5562112,-26.261546999999997
98,Wearther,4,-2.1652353,4.660554
99,Weather,4,-3.4603547999999997,-25.710012
100,Westher,4,-0.8223752000000001,5.0186459999999995
101,Weathers,4,-2.402821,-25.817830999999998
102,The That's,4,0.35399118,0.77595806
103,Weather,4,-3.1276884,-25.38281
104,Werchter,4,-3.222514,-3.6415772000000004
105,"The temps that are displayed on your site are somewhat inaccurate for Appin NSW 2560. 
At 11:42am on 11th February the temperature was 40 degrees Celsius 

Regards
Dale Shackleton",4,6.3571887,7.349218400000001
106,"According to my car thermometer it is 42c at Hurstville, 43c @ Penshurst & 44c @ Hurstville Grove (almost 5 degrees hotter than the BoM mobile app). Feels much hotter than 39.6 too",4,7.9843,1.4330794
107,"Are you able to tell me why this afternoon, the radar for my area, Forster, indicates there is steady rainfall when there is not a cloud, smoke or even haze anywhere in sight?",1,-1.9394288,8.039438
108,Wertch,4,-2.3182693,3.54895
109,Could you please tell me why the Moora River levels are no longer appearing on the site. Thankyou,4,-11.02153,-8.830555
