,comments,label,x,y
0,"I have been looking at your site (and the others in the same industry) as part of research into whether websites like yours are actively looking at their Google rankings. I'm sure you are as it's what brings in traffic to your site.

If you're not, then there is a tool called https://www.track-r.net that lets you check your Google rankings for 7 days for free. Once you can read the data you can see if you're ahead of your competitors or not. And they give you advice on how to increase your rank, so you gain more customers. It's pretty cool.

Anyway, I'd love to get some feedback on how you are building your website's traffic so I can compile my research. It would be completely annoymous data, that would be used to see who uses PPC like Adwords or organic marketing or paid banners, for example.",0,0.30508322,0.8282868
1,Your Radar map when enlarged is again cutting out Castle Hill and other suburbs north that we could view but now can't. This has happened before as well.,0,-27.595036999999998,-1.8821506999999997
2,"Live in Morgan area. Morgan weather showed we had 12 ml rain! Who got the rain because we certainly didnt!
Three days of filthy duststorms we would love some rain....any rain predicted soon?",0,-34.47567,13.880517999999999
3,"6 effective ways to quickly earn easy money you can download this hyperlink in PDF format: http://ready.googlenoomon.info/?p=24645 
I work for each and every of these methods and earn more than $ 35,000 per month.",0,-0.5956805000000001,4.6585345
4,Could you please add the UV index to m.bom.gov.au it would be very helpful. Thanks.,0,-17.787554,-18.438646
5,"Over the past few months the rainfall figures have been missing from the Safey Beach/Dromana weather information website.
Can you advise when these figures will be added again.
Thank you.",0,1.9246153999999998,-3.4162455
6,Why is there no uv rating on daily forcasting on m.bom.gov.au given how important uv is to the australian population ? I would imagine m.bom web site has a significant useage rate given mobile platforms. Please add uv ratings thanks,0,-16.70747,-18.082506
7,Please include date on the display of the forcast next to the day of the week.Thank you.,0,-21.05869,-19.808989
8,I have been getting the weather forecast between Redridge queensland and Bundaberg queensland up till now and as of this morning 3rdmarch 2018 instead of getting the weather between redridge and Bundaberg I am now getting the weather forecast between redridge and Maryborough queensland which is approximately 56 kilometres the other way and I am unable to change it back.  Please explain how to do this and how?,0,5.156695,-0.23467208
9,Works well but needs a quick link to synoptic charts,0,-10.995722,2.1258863999999997
10,Is there a realtime radar...seems to be old veiw    how is that useful ?,0,-29.672309999999996,-2.0761092
11,"Hi, I found this page (http://media.bom.gov.au/social/blog/1324/feeling-hot-and-bothered-its-not-the-humidity-its-the-dew-point/) very interesting and useful. Would it be possible to incorporate the current dew point into the mobile site?Thanks!",0,-13.3945,-7.2328215
12,Hourly predictions is much better than the vague all-of-Melbourne on the main BOM site. But can't we have at least 3 days of hourly predictions? I gather you have enough accuracy these days. (I'm on a PC),0,-20.769627,13.532239
13,"How about Wave Height for Valla Beach- next 24hours. ??
Thanks
Chris",0,-0.7238100000000001,-2.593636
14,Well laid out. Very helpful. Thank you.,0,1.2716243999999999,-37.17731
15,Great app guys. Well done,4,12.40575,-41.635044
16,"Hello, last year (2017) in July I became completely photosensitive due to epilepsy. I am taking medication and now I can go outside when the UV is below 4. My question is: how much lower is the UV level in thick cloud? Thank you, Anaree Nelson, Fraser Coast, Qld.",0,-6.011174,-1.8396603
17,Great resource! Thank you,4,2.989335,-37.191334000000005
18,"I live in Briagolong vic and use this mobile site often. Recently when  I select 'radar' it does not provide the correct link, I have to go via Bairnsdale.  Thanks
Jeff bowers",0,-6.768660499999999,-15.437607
19,"Hi there. I love the Bom mobile site, especially the 24 hour ahead and 24 hour past screens, however have been caught flat footed a number of times because the 24 hr ahead is NOT updated in a timely fashion.  I am looking at current weather and it looks as if it is going to get ten degrees hotter than current temp in the next hour, when in fact if I look at past 24hours, it is apparent that the cool change came through two hours ago. I can't call you the authority in weather if I can't rely on your data.",0,-5.43609,-8.295518
20,Ok,0,-1.2230796,2.5680585
21,Hi. Im on man iPhone 6 and I find that my favorite locations do not stick. Each time I use the ap I have to reset my favorite location. Thanks,0,5.083929,-16.7966
22,"Favourite Star- you can select it but when you log back on it is gone. Been the same forever with me.

Otherwise the app is fantastic. Any ideas?

Regards Gerald Moss Swanbourne WA",0,-18.922604,-41.366703
23,"Re: previous enquiries. Im referring to the mobile page, not the app. The app seems to remember favourites, cheers.",0,-16.379162,-6.5768223
24,"The mobile app doesnt remember favourite locations. I have set Devonport, Tasmania as a favourite (and the star is checked) but it never appears as a favourite, and the app always says no favourites have been set. Any ideas? Thanks.",0,7.789534,-18.105247
25,"Radar is not displayed on the site for Erica. I would like to be able to see that again.
Great job otherwise.
Ole",0,-39.985928,2.9569664
26,"Would be great if you could provide direction arrows of the warning areas so you could see the potential movement of the warning areas, as a guide only of course.",0,-13.970498000000001,22.92272
27,"Please fix your app. I uninstalled it because the temperature and forecast don't match the data on your website  (I'm in Adelaide). Also, the app is very slow to load. Btw I'm using Android.",0,-4.6089115,-41.978344
28,"I travel a lot and like to be able to see the pressure maps and satellite pictures, I can then draw my conclusion about up coming weather for the places I am going visit.  Also, my family have a cattle farm, and approaching possibilities of upcoming rain is essential for farm activities and agriculture planning.

Please tell me I can still access the old site.  I am in Melbourne till the end of January then back to a place called 'Number One NSW 2424' where their is NO mobile signal.  We have a satellite service which is very slow.

Hope to hear from you,  as I feel that this site is dumbing down the huge range of information that all of you spend your time on analysing....also I think that younger people will not be inquisitive about the wonders of the weather and will turn to other sites.

Kindest regards Beverley Timmins
PS?  I do not wish to insult those who have worked to provide this new site...there must be a good reason for it - but it does not provide me with what I want to see and it may be there hiding under some heading, but I could not find it!",0,-3.6690739999999997,-13.438235
29,Please make the warnings more visually attractive and easy to digest. One needs to quickly identify and understand the relevant warnings,0,-28.758940000000003,-15.662732
30,"Hi,  Im trying to change the town when I press on the weather but I cannot. Not sure what to do.  It would be easier if someone could contact me please by phone.
Thank you
Niall",0,-23.697062,-20.466133
31,I really like this format. I do however miss the UV ratings for the next 4 days.,0,10.504019,10.700797
32,"I live in Bright. And know for a fact we have just had over 56mm of rain in the last 24 hrs during this huge rain event. The source of the info on your page says Omeo! That is on the other side of Mount Hotham! Even Wangaratta would have been more accurate. 
Very very disappointing.",0,-34.634871999999994,11.711172999999999
33,The weather radar is not working it is just stopped. Please fix as soon as possible because on days like this I need to check where the rain is.,0,-31.189152000000004,-10.939414999999999
34,SUPER,0,-4.0368605,2.2668044999999997
35,"OMG.... poured with rain non-stop today in Sydney! Just so glad I followed the BOM forecast and lugged my umbrella around with me all day to keep me dry!!! 
Clearly money well-worth spent on the department..... keep up the good work guys!!!",0,-7.682618,5.78533
36,"6 Dec 2016 Luke Cage was serving up coffee to all the ladies in Harlem in Season one of his Netflix show. I had a sneaky suspicion that we could see Take free live online classes taught by the world's most inspiring instructors. Watch, rewind, get access to bonus materials, repeat. Make creativity Check out our latest video and see how you can take the next step on your creative  
http://supercoolshop.co 
Watch Funky Cops online English dubbed full episodes for Free. 17 Aug 2011 Similarly, their work is famous in its own right and has appeared on such TV shows as The Real World, Monster Garage, Extreme Home",0,-3.9076275999999996,5.163978599999999
37,"Cheers, Plenty of information. 
 
canadianpharmaciesbnt.com 
international pharmacies that ship to the usa",0,14.22197,-3.3393032999999996
38,"I want to share with you one hosting company called a href=https://prohoster.info/?partner=13ProHoster/a that offers professional internet hosting with a bFREE/b website builder, SSL certificate, domain name and many other useful and bFREE/b chips. Also, you can order virtual server, rent a dedicated server, server administration. I've been working with bProHoster/b for several years now and I'm very glad about it. Here is the a href=https://prohoster.info/?partner=13ref. link/a to the registration.",0,-0.70576227,4.5846443
39,"What is the current situation or any
Progress to establish a rain radar for the Wimmera area ?",0,-32.589005,3.9824839999999995
40,"Hi. The last few days your mobile website has been redirecting all over the place and giving me weather from anywhere but my location. This is despite the web address showing my saved favourite location. It's really odd. Then I'll clear that new place and search for my current location (either by the button or manually using my postcode) and the site will redirect me to a whole new place 300kms from where I am. as glithes go, it's quite frustrating. I'd appreciate your techie types jumping on and seeing what they can do with it. Thanks.",0,5.1177626,-19.379786
41,The BOM Mobile website does work well most of the time with the occasional glitches.,0,-12.275072999999999,-14.883154999999999
42,"The BOM app on my iPad has suddenly become erratic and often unresponsive. It can't fine my current location (my home of 20 years!) any more, often giving results for other states instead, even when I enter my postcode. I haven't installed any new system updates recently. I've closed the site and restarted my device several times but it hasn't helped. Any other suggestions?",0,3.677174,-15.844454999999998
43,"Hello. Ive been experiencing regular breakdowns in the hyperlinks on the BOM app on my iPad. My saved location is BEAUMARIS, VIC. It will go to other locations in Australia when I refresh the page or shift to the radar. This has been daily over the last couple of weeks. It sorts itself out but keeps returning. I thought Id let you know about it. Thanks for the BOM app, anyway.",0,-15.440129999999998,-8.352542
44,Everytime I long in to look at weather information and then press radar comes up with different town and keeps on changing my save town as well! Thanks Arren,0,9.7081785,-3.4860434999999996
45,"Hi guys,
Love your work and love the mobile page but its been acting weird lately. Today I put in Cowes, also tried 3922 and I was returned results for Brisbane, Melbourne and Ulverstone TAS. This is usually very reliable but over the past 10 days there seems to be a bug, some days it wont move off the warnings page.
Please have a look!
Thank you,
Norah",0,-16.852783,0.75605863
46,"I REALLY don't like this new obtrusive demand to activate location services. I have been happy to just set up a link based on MY preferences, and I don't want or need the Aust Gov't knowing more than the locations I am interested in (which does not necessarily match my location)",0,5.9087467,-17.840559
47,"Dear Staff, I use your site several times per day to check radars and temps.  Over the last week if I am in robina m.bom site and I tap on radar,it will take me to warnings for various places and even when I hit return, I do not go back to the Robina site but again end up in a random place in another state. I start all over but as soon as I  navigate to another page on main screen I am again transferred elsewhere. Very annoying and hope just a temporary problem. Thanks for the great service (usually) and I  normally love your site. Mariette",0,-5.241699700000001,-12.720134
48,"I had this so set up to give me weather for my suburb with a weekly forecast. Why has that changed? I can't access the forecasts other than for today, out used to be easy.",0,5.154959,2.1300328
49,"Your mobile website is terrible to use at the moment. I have Darwin saved as my favourite location, but when trying to check the weather and the radar it's taking me to the pages for other locations around the country, and won't let me get to the Darwin page. Please fix this asap, it's the wet season and we need to be able to check the weather",0,-19.203337,-6.502260700000001
50,"Hey guys for the last two days the mobile site has had a mind of its own! Click a specific location you want and youll get some random place in Australia every time like a lucky dip. Weather links to radar and radar links to warnings, so I havent been able to check the weather at all. Please fix",0,-24.044173999999998,-4.8561807
51,"I have a saved URL to see the forecast for my syburb.

Its been working for years now it takes me to any random location 

No i dont want my mobile location turned on.",0,7.471733,-15.413960000000001
52,"The mobile site has been doing strange things this week ? Always been excellent before.
Not going to section requested etc. And coming up with info for random place around the country??",0,2.148615,1.1627601
53,"When selecting Canberra, Im taken to Port Headland. This may need someone to look into a fix. Thanks. This mobile site is a great and effective public service. Keep up the great work.",4,-0.7250383,-19.541805
54,Gg.,0,-3.367671,2.5507383
55,"This link doesn't seem to work anymore - it used to load the Brisbane radar.
http://m.bom.gov.au/qld/upper-caboolture/radar/

I use it as a shortcut on my phone to get local weather (still works great), but the radar link keeps loading blank. Broke in the last couple of weeks, it had been working great up to then!",0,-25.874773,-4.3717847
56,"Can you please fix the app for me 

Thanks",0,-7.227585,-42.29858
57,Like the new look. Keep it up.,0,21.968945,2.0489771
58,Please include UV index on the forecast info,0,-19.305204,-18.343939000000002
59,Hi guys. Whats up with the caboolture weather website. The radar page loads but there is no map. This isn't happening on other locations...only the caboolture area. Please fix as I used this very regularly. Thanks Trish,0,-20.154469,-6.5483303
60,"Not sure where you get your rain totals from but Coominya has had 54mm since 9am yesterday not 10mm as indicated on this site. 

Cheers",0,-34.223267,12.65892
61,Hi guys.Just wondering what has happened to the Caboolture website. The radar page loads but there is no map! Use this app regularly -this has happened a few days ago. Other sites are working fine. Hope you can fix this or is it something that I have done. Thanks Trish,0,-20.467209,-6.4382167
62,"This is the most useful app I use everyday. 
However, it would fantastic if it included the daily pollen forecast.",0,6.086162,-24.207735
63,Love it!,2,25.189379000000002,-51.411255
64,"it was agood day im happy today pop works hard  i love pop
im tired",0,-5.849752400000001,5.235295
65,"The mobile site has been excellent until about 1-2 weeks ago when it changed, it no longer loads properly. The screen now opens black and if the user pinches to resize a few times eventually a clear image is enabled. Not sure if you recently changed the mobile site but it needs to be corrected. The actual information and the look and feel of the site is otherwise outstanding, Thanks so much",0,-2.5214667,-13.742864
66,Great weather app but could you please make the print a little bigger on the radar map. Thank you.,0,-27.423203000000004,-16.62121
67,Love it,2,24.360416,-52.841026
68,Thanks for the service. Much appreciated.,0,1.3928504,-37.36524
69,Why in heavens name did you change the display? It was so convenient to zoom out in increments from Sydney to view Australia in total.,0,-1.8332403000000002,1.7871736
