comments,label,x,y
"I have been looking at your site (and the others in the same industry) as part of research into whether websites like yours are actively looking at their Google rankings. I'm sure you are as it's what brings in traffic to your site.

If you're not, then there is a tool called https://www.track-r.net that lets you check your Google rankings for 7 days for free. Once you can read the data you can see if you're ahead of your competitors or not. And they give you advice on how to increase your rank, so you gain more customers. It's pretty cool.

Anyway, I'd love to get some feedback on how you are building your website's traffic so I can compile my research. It would be completely annoymous data, that would be used to see who uses PPC like Adwords or organic marketing or paid banners, for example.",positive,-0.24231833,-20.78161
Whaspp,neutral,3.9347975,23.709826
Your Radar map when enlarged is again cutting out Castle Hill and other suburbs north that we could view but now can't. This has happened before as well.,positive,-0.16808103,46.935944
"Live in Morgan area. Morgan weather showed we had 12 ml rain! Who got the rain because we certainly didnt!
Three days of filthy duststorms we would love some rain....any rain predicted soon?",positive,40.102295,23.54531
"Hi
I have trouble with the default place for a forecast. We travel a lot so I want to be able to set a default (favourite) town for the forecast. Even when I set the ""star"" to a particular town, it won't default to that town.
Jenny",negative,29.49233,-0.09298788
I,neutral,-3.0997639,24.550043
U Bffcffftrucffrcdrrdtfrtt ggg,neutral,-0.55272263,13.443377
"6 effective ways to quickly earn easy money you can download this hyperlink in PDF format: http://ready.googlenoomon.info/?p=24645 
I work for each and every of these methods and earn more than $ 35,000 per month.",positive,-20.334038,6.1379404
Why does the radar not work on mobiles? iPhone 7plus,neutral,4.438047,-1.095008
Could you please add the UV index to m.bom.gov.au it would be very helpful. Thanks.,positive,50.242268,-12.035862
"Over the past few months the rainfall figures have been missing from the Safey Beach/Dromana weather information website.
Can you advise when these figures will be added again.
Thank you.",positive,6.0968094,-25.20529
"I do not understand the Doppler charts.
How can I find out how to read them properly
Regards Norm  Hodgkinson",neutral,-17.050371,16.107714
"Apologies for my recent feedback about the time being wrong its UTC time, sorry.
I learnt something about timezones today.",negative,33.15217,-29.459883
"The date and time on the rain radar is incorrect
Reads 23/3 time 2200
Its 24th and 0925
Not sure if its a different time zone",negative,35.644123,-29.778976
Why can I not get the satellite picture for east of the Tamar.,neutral,18.365658,18.880995
What happened to the rain in Renmark today?,neutral,38.265297,23.565445
Why is there no uv rating on daily forcasting on m.bom.gov.au given how important uv is to the australian population ? I would imagine m.bom web site has a significant useage rate given mobile platforms. Please add uv ratings thanks,positive,51.043686,-11.308393
oo,neutral,6.0530753,20.028511
its a beatiful contry,neutral,8.870482,18.203403
Please include date on the display of the forcast next to the day of the week.Thank you.,positive,43.92778,-6.2808805
"Grafton radar wont load, just the colour code that goes underneath.",neutral,-0.030214086,42.377308
Your site is crap I put in post code and radar page shits it self,negative,7.369962,41.695404
Useless focast today,negative,21.047956,9.047741
I have been getting the weather forecast between Redridge queensland and Bundaberg queensland up till now and as of this morning 3rdmarch 2018 instead of getting the weather between redridge and Bundaberg I am now getting the weather forecast between redridge and Maryborough queensland which is approximately 56 kilometres the other way and I am unable to change it back.  Please explain how to do this and how?,positive,22.797102,-17.980982
Works well but needs a quick link to synoptic charts,positive,-13.806828,43.27089
Radar no longer shows names of towns on iPad,negative,0.3170576,49.072037
zayAZ AZz,neutral,8.161002,15.920085
Hey s,neutral,0.4006599,20.692673
Why isn't there a weather station collecting climate data in docklands or Port Melbourne? My students of Building Design regularly have commercial practice projects in these booming areas and can't research data specific to the suburb using the bom website.,neutral,8.14093,-18.91574
"What the fuck are you loser being paid for?! If BOM was a private company you would've all been fired. Useless government scum - as with all government employees - responsible for nothing and accountable for nothing. Just think about that when you're lining up for your coffee on tax payer time, and then can't deliver anything. What a waste of money - you're just as bad as the politians!!",negative,-10.884909,22.719831
Is there a realtime radar...seems to be old veiw    how is that useful ?,positive,-4.5034385,47.4609
