comments,label,x,y
"I have been looking at your site (and the others in the same industry) as part of research into whether websites like yours are actively looking at their Google rankings. I'm sure you are as it's what brings in traffic to your site.

If you're not, then there is a tool called https://www.track-r.net that lets you check your Google rankings for 7 days for free. Once you can read the data you can see if you're ahead of your competitors or not. And they give you advice on how to increase your rank, so you gain more customers. It's pretty cool.

Anyway, I'd love to get some feedback on how you are building your website's traffic so I can compile my research. It would be completely annoymous data, that would be used to see who uses PPC like Adwords or organic marketing or paid banners, for example.",positive,0.6964691855978616,0.28613933495037946
Whaspp,neutral,0.2268514535642031,0.5513147690828912
Your Radar map when enlarged is again cutting out Castle Hill and other suburbs north that we could view but now can't. This has happened before as well.,positive,0.7194689697855631,0.42310646012446096
"Live in Morgan area. Morgan weather showed we had 12 ml rain! Who got the rain because we certainly didnt!
Three days of filthy duststorms we would love some rain....any rain predicted soon?",positive,0.9807641983846155,0.6848297385848633
"Hi
I have trouble with the default place for a forecast. We travel a lot so I want to be able to set a default (favourite) town for the forecast. Even when I set the ""star"" to a particular town, it won't default to that town.
Jenny",negative,0.48093190148436094,0.3921175181941505
I,neutral,0.3431780161508694,0.7290497073840416
U Bffcffftrucffrcdrrdtfrtt ggg,neutral,0.4385722446796244,0.05967789660956835
"6 effective ways to quickly earn easy money you can download this hyperlink in PDF format: http://ready.googlenoomon.info/?p=24645 
I work for each and every of these methods and earn more than $ 35,000 per month.",positive,0.3980442553304314,0.7379954057320357
Why does the radar not work on mobiles? iPhone 7plus,neutral,0.18249173045349998,0.17545175614749253
Could you please add the UV index to m.bom.gov.au it would be very helpful. Thanks.,positive,0.5315513738418384,0.5318275870968661
"Over the past few months the rainfall figures have been missing from the Safey Beach/Dromana weather information website.
Can you advise when these figures will be added again.
Thank you.",positive,0.6344009585513211,0.8494317940777896
"I do not understand the Doppler charts.
How can I find out how to read them properly
Regards Norm  Hodgkinson",neutral,0.7244553248606352,0.6110235106775829
"Apologies for my recent feedback about the time being wrong its UTC time, sorry.
I learnt something about timezones today.",negative,0.7224433825702216,0.3229589138531782
"The date and time on the rain radar is incorrect
Reads 23/3 time 2200
Its 24th and 0925
Not sure if its a different time zone",negative,0.3617886556223141,0.22826323087895561
Why can I not get the satellite picture for east of the Tamar.,neutral,0.29371404638882936,0.6309761238544878
What happened to the rain in Renmark today?,neutral,0.09210493994507518,0.43370117267952824
Why is there no uv rating on daily forcasting on m.bom.gov.au given how important uv is to the australian population ? I would imagine m.bom web site has a significant useage rate given mobile platforms. Please add uv ratings thanks,positive,0.4308627633296438,0.4936850976503062
oo,neutral,0.425830290295828,0.3122612229724653
its a beatiful contry,neutral,0.4263513069628082,0.8933891631171348
Please include date on the display of the forcast next to the day of the week.Thank you.,positive,0.9441600182038796,0.5018366758843366
"Grafton radar wont load, just the colour code that goes underneath.",neutral,0.6239529517921112,0.11561839507929572
Your site is crap I put in post code and radar page shits it self,negative,0.3172854818203209,0.4148262119536318
Useless focast today,negative,0.8663091578833659,0.2504553653965067
I have been getting the weather forecast between Redridge queensland and Bundaberg queensland up till now and as of this morning 3rdmarch 2018 instead of getting the weather between redridge and Bundaberg I am now getting the weather forecast between redridge and Maryborough queensland which is approximately 56 kilometres the other way and I am unable to change it back.  Please explain how to do this and how?,positive,0.48303426426270435,0.985559785610705
Works well but needs a quick link to synoptic charts,positive,0.5194851192598093,0.6128945257629677
Radar no longer shows names of towns on iPad,negative,0.12062866599032374,0.8263408005068332
