comments,label,x,y
"I have been looking at your site (and the others in the same industry) as part of research into whether websites like yours are actively looking at their Google rankings. I'm sure you are as it's what brings in traffic to your site.

If you're not, then there is a tool called https://www.track-r.net that lets you check your Google rankings for 7 days for free. Once you can read the data you can see if you're ahead of your competitors or not. And they give you advice on how to increase your rank, so you gain more customers. It's pretty cool.

Anyway, I'd love to get some feedback on how you are building your website's traffic so I can compile my research. It would be completely annoymous data, that would be used to see who uses PPC like Adwords or organic marketing or paid banners, for example.",positive,-26.91232,11.972846
Whaspp,neutral,-2.87456,4.831962
Your Radar map when enlarged is again cutting out Castle Hill and other suburbs north that we could view but now can't. This has happened before as well.,positive,28.368902,14.512515
"Live in Morgan area. Morgan weather showed we had 12 ml rain! Who got the rain because we certainly didnt!
Three days of filthy duststorms we would love some rain....any rain predicted soon?",positive,28.545397,37.086533
"Hi
I have trouble with the default place for a forecast. We travel a lot so I want to be able to set a default (favourite) town for the forecast. Even when I set the ""star"" to a particular town, it won't default to that town.
Jenny",negative,5.849512,31.191517
I,neutral,-1.7470713,2.830225
U Bffcffftrucffrcdrrdtfrtt ggg,neutral,-8.753244,3.2318852
"6 effective ways to quickly earn easy money you can download this hyperlink in PDF format: http://ready.googlenoomon.info/?p=24645 
I work for each and every of these methods and earn more than $ 35,000 per month.",positive,2.4061692,-2.289891
Why does the radar not work on mobiles? iPhone 7plus,neutral,35.248528,7.266871
Could you please add the UV index to m.bom.gov.au it would be very helpful. Thanks.,positive,-8.487539,25.734509
"Over the past few months the rainfall figures have been missing from the Safey Beach/Dromana weather information website.
Can you advise when these figures will be added again.
Thank you.",positive,-29.69084,8.131656
"I do not understand the Doppler charts.
How can I find out how to read them properly
Regards Norm  Hodgkinson",neutral,2.6417382,-23.062485
"Apologies for my recent feedback about the time being wrong its UTC time, sorry.
I learnt something about timezones today.",negative,-21.341963,-8.863666
"The date and time on the rain radar is incorrect
Reads 23/3 time 2200
Its 24th and 0925
Not sure if its a different time zone",negative,-22.537663,-10.079246
Why can I not get the satellite picture for east of the Tamar.,neutral,3.6006753,2.6102304
What happened to the rain in Renmark today?,neutral,28.419619,35.55794
Why is there no uv rating on daily forcasting on m.bom.gov.au given how important uv is to the australian population ? I would imagine m.bom web site has a significant useage rate given mobile platforms. Please add uv ratings thanks,positive,-8.012308,24.618765
oo,neutral,1.783579,1.9375448
its a beatiful contry,neutral,-3.4974465,1.3174024
Please include date on the display of the forcast next to the day of the week.Thank you.,positive,-9.428501,30.146742
"Grafton radar wont load, just the colour code that goes underneath.",neutral,25.452793,12.111122
Your site is crap I put in post code and radar page shits it self,negative,20.927053,14.785258
Useless focast today,negative,2.5338311,13.2722
I have been getting the weather forecast between Redridge queensland and Bundaberg queensland up till now and as of this morning 3rdmarch 2018 instead of getting the weather between redridge and Bundaberg I am now getting the weather forecast between redridge and Maryborough queensland which is approximately 56 kilometres the other way and I am unable to change it back.  Please explain how to do this and how?,positive,-17.145271,0.53099644
Works well but needs a quick link to synoptic charts,positive,-9.485502,12.370076
Radar no longer shows names of towns on iPad,negative,30.0982,13.258318
zayAZ AZz,neutral,-0.13088015,3.009997
Hey s,neutral,-8.309555,6.553065
Why isn't there a weather station collecting climate data in docklands or Port Melbourne? My students of Building Design regularly have commercial practice projects in these booming areas and can't research data specific to the suburb using the bom website.,neutral,-25.12533,13.75455
"What the fuck are you loser being paid for?! If BOM was a private company you would've all been fired. Useless government scum - as with all government employees - responsible for nothing and accountable for nothing. Just think about that when you're lining up for your coffee on tax payer time, and then can't deliver anything. What a waste of money - you're just as bad as the politians!!",negative,-5.428711,10.385815
Is there a realtime radar...seems to be old veiw    how is that useful ?,positive,31.502384,16.835829
"Hi. I have noticed over the past few weeks that your forecast and maximum temperatures have been incorrect. Is there any reason for this, as in, particular anomalies with the current weather system or is this symptomatic of unpredictable weather in this day and age?",neutral,11.08095,34.634357
"When I select Radar on my phone app for Launceston it shows Hobart Radar a little annoying as am Launceston based, any chance of changing to show the Radar from the NW Tas when viewing weather for Launceston",negative,31.64927,14.175907
H,neutral,1.9077986,8.067509
"Hi, I found this page (http://media.bom.gov.au/social/blog/1324/feeling-hot-and-bothered-its-not-the-humidity-its-the-dew-point/) very interesting and useful. Would it be possible to incorporate the current dew point into the mobile site?Thanks!",positive,-18.000864,22.436852
Hourly predictions is much better than the vague all-of-Melbourne on the main BOM site. But can't we have at least 3 days of hourly predictions? I gather you have enough accuracy these days. (I'm on a PC),positive,12.714236,39.29554
Tweeeiyi,neutral,-0.7899066,1.7427826
"How about Wave Height for Valla Beach- next 24hours. ??
Thanks
Chris",positive,-31.908655,0.507381
Well laid out. Very helpful. Thank you.,positive,-34.091892,1.008513
Great app guys. Well done,positive,-12.867898,1.5458059
"Hello, last year (2017) in July I became completely photosensitive due to epilepsy. I am taking medication and now I can go outside when the UV is below 4. My question is: how much lower is the UV level in thick cloud? Thank you, Anaree Nelson, Fraser Coast, Qld.",positive,-6.2098427,22.495455
"I get the message below when trying to set my location. Other apps have no similar problem. Im using iOS 11.2.5. 

An error occurred while finding your location. Please try again or search by place or postcode.",negative,-0.26151323,38.976444
Great resource! Thank you,positive,-34.885258,-1.6521387
"Mobile site, burpengary is my regular location, about 6 months ago the radar button stopped working, it used to load Brisbane radar, now blank. Using chrome or samsung internet browser.",negative,30.945118,17.485434
"I live in Briagolong vic and use this mobile site often. Recently when  I select 'radar' it does not provide the correct link, I have to go via Bairnsdale.  Thanks
Jeff bowers",positive,24.575027,16.608313
"Hi there. I love the Bom mobile site, especially the 24 hour ahead and 24 hour past screens, however have been caught flat footed a number of times because the 24 hr ahead is NOT updated in a timely fashion.  I am looking at current weather and it looks as if it is going to get ten degrees hotter than current temp in the next hour, when in fact if I look at past 24hours, it is apparent that the cool change came through two hours ago. I can't call you the authority in weather if I can't rely on your data.",positive,9.269751,22.495583
Ok,positive,-6.0013394,-1.9307112
Ogre and other,neutral,-5.243912,2.4247723
I vmbmnlnbkl,neutral,-3.5711532,0.6818738
By alice,neutral,-4.214438,5.401991
You tube,neutral,0.39635444,5.7236776
Hi. Im on man iPhone 6 and I find that my favorite locations do not stick. Each time I use the ap I have to reset my favorite location. Thanks,positive,-5.614611,39.139248
Freya is she u,neutral,-8.8304825,3.1689644
N en di a kkkoo oop8po,neutral,-6.2875915,5.7314105
Si i999,neutral,-1.5324006,-1.2784426
"Why is the app forecast always different to the website?  I live in Williamstown Victoria, less than 15 km and there is often huge variation in forecasts. E.g. according to the bom app the forcast is 34 Sunday 28th Jan but on the bom website it says 39! This is a significant difference and quite dangerous for extreme weather conditions.",negative,-25.79789,15.971391
Lll,neutral,-4.934561,0.40660247
I always use this sight because it is up to date and correct,neutral,-10.54328,-4.270814
Moon and sun icons are out of sync with celestial movements.,neutral,4.282158,4.582407
Z,neutral,-5.5351887,4.482724
"Favourite Star- you can select it but when you log back on it is gone. Been the same forever with me.

Otherwise the app is fantastic. Any ideas?

Regards Gerald Moss Swanbourne WA",positive,-38.964485,25.03206
Need to look at app for weather zone as not working,neutral,-5.6612234,-7.4401846
This app is coming up with error and doesnt work . Thanks Steve Koios,negative,-4.0029187,-10.567921
"Re: previous enquiries. Im referring to the mobile page, not the app. The app seems to remember favourites, cheers.",positive,1.2956368,27.971338
"The mobile app doesnt remember favourite locations. I have set Devonport, Tasmania as a favourite (and the star is checked) but it never appears as a favourite, and the app always says no favourites have been set. Any ideas? Thanks.",positive,-1.7778744,42.32366
Thirlere nsw,neutral,-1.7578952,9.41592
"Radar is not displayed on the site for Erica. I would like to be able to see that again.
Great job otherwise.
Ole",positive,30.442339,8.210334
ug,neutral,-2.0049381,0.00570581
Cfhu9y6 mob  bo,neutral,-6.144526,1.2883943
Great App but the BOM rain forecasts are bloody hopeless.,negative,-26.120132,25.360874
"Would be great if you could provide direction arrows of the warning areas so you could see the potential movement of the warning areas, as a guide only of course.",positive,-4.6830573,17.567
Can bra,neutral,-4.823967,-0.32354182
"Please fix your app. I uninstalled it because the temperature and forecast don't match the data on your website  (I'm in Adelaide). Also, the app is very slow to load. Btw I'm using Android.",positive,-21.502728,32.244453
"I travel a lot and like to be able to see the pressure maps and satellite pictures, I can then draw my conclusion about up coming weather for the places I am going visit.  Also, my family have a cattle farm, and approaching possibilities of upcoming rain is essential for farm activities and agriculture planning.

Please tell me I can still access the old site.  I am in Melbourne till the end of January then back to a place called 'Number One NSW 2424' where their is NO mobile signal.  We have a satellite service which is very slow.

Hope to hear from you,  as I feel that this site is dumbing down the huge range of information that all of you spend your time on analysing....also I think that younger people will not be inquisitive about the wonders of the weather and will turn to other sites.

Kindest regards Beverley Timmins
PS?  I do not wish to insult those who have worked to provide this new site...there must be a good reason for it - but it does not provide me with what I want to see and it may be there hiding under some heading, but I could not find it!",positive,-16.56292,4.219107
Please make the warnings more visually attractive and easy to digest. One needs to quickly identify and understand the relevant warnings,positive,-14.337522,-11.854779
"The radar being your only visual report, needs ""pause"" and speed control functionality.",neutral,24.010336,6.5422378
"Hi,  Im trying to change the town when I press on the weather but I cannot. Not sure what to do.  It would be easier if someone could contact me please by phone.
Thank you
Niall",positive,-17.728086,29.453905
Site always reports an error when I click on the my location button. Site never remembers my favourite location (Warragul) even though I have starred it. I always have to type in my postcode to get my local weather.,negative,-0.9379857,40.399006
"Hi BOM team, 

The 24hr forecast temperatures (at the following link) for Sydney don't appear correct.

http://m.bom.gov.au/nsw/sydney/forecasts/

For eg. at 5.27pm (now) the 5pm temperature is listed as 26degC, but the actual temp listed for Sydney at this BOM page is 28.6degC. 

Peter",neutral,-20.809383,23.629282
I really like this format. I do however miss the UV ratings for the next 4 days.,positive,37.349083,-12.42753
"When you type in to view Berwick, it is such a false reading as it takes the details from Ferny Ck? 

Why is this? Ferny Ck has such different conditions, so the Berwick area us always usually a false reeding?  ;( 

Can't it be aligned to a different station more relevant? 

Thom",neutral,1.5841749,-22.630722
"I live in Bright. And know for a fact we have just had over 56mm of rain in the last 24 hrs during this huge rain event. The source of the info on your page says Omeo! That is on the other side of Mount Hotham! Even Wangaratta would have been more accurate. 
Very very disappointing.",positive,29.866865,34.653687
The weather radar is not working it is just stopped. Please fix as soon as possible because on days like this I need to check where the rain is.,positive,25.675434,25.839066
"Ur website sucks, all the weather app predictions are always wrong, ""100% Chance of thunderstorms from 9am - 12pm"", yet it is 10:30am and not a single lightning strike nor thunder heard either.",negative,-25.998075,12.720954
What has happened to the radar for Caboolture,neutral,29.856546,13.850228
CHi mt  L,neutral,-2.341305,8.357251
What has happened to the radar view or Cooranbong for the m.bom.gov.au website on PC and on mobile?,neutral,-26.128502,18.0803
SUPER,positive,-4.6041775,7.881125
"The link to the Bairnsdale radar has stopped working ... Eg if your looking at weather for yarram, then switch to radar ... No radar appears",negative,32.94971,12.23082
". 
 -        ! 
       
  .   ICQ 656310373",neutral,-0.029884141,0.67140734
Ikobjjmg,neutral,-4.976301,0.0061037214
"OMG.... poured with rain non-stop today in Sydney! Just so glad I followed the BOM forecast and lugged my umbrella around with me all day to keep me dry!!! 
Clearly money well-worth spent on the department..... keep up the good work guys!!!",positive,3.16517,14.84132
