Date,Rating,Comments,% Total,Total
2018-09-21,3.7027027027027026,74.0,0.11526479750778816,642
2018-09-22,3.6315789473684212,19.0,0.14074074074074075,135
2018-09-23,3.473684210526316,19.0,0.2235294117647059,85
2018-09-24,3.857142857142857,7.0,0.08433734939759036,83
2018-09-25,4.0,2.0,0.09090909090909091,22
2018-09-26,3.6666666666666665,3.0,0.08333333333333333,36
2018-09-27,5.0,1.0,0.038461538461538464,26
2018-09-28,3.0,1.0,0.08333333333333333,12
2018-09-29,4.5,2.0,0.2,10
2018-09-30,4.0,2.0,0.11764705882352941,17
2018-10-01,4.0,1.0,0.125,8
2018-10-02,4.0,1.0,0.02702702702702703,37
2018-10-03,4.0,1.0,0.041666666666666664,24
2018-10-04,4.0,1.0,0.09090909090909091,11
2018-10-05,5.0,3.0,0.2,15
2018-10-06,,0.0,0.0,3
2018-10-07,,0.0,0.0,4
2018-10-08,3.6666666666666665,21.0,0.2,105
2018-10-09,5.0,1.0,0.03333333333333333,30
2018-10-10,4.0,1.0,0.07692307692307693,13
2018-10-11,,0.0,0.0,3
2018-10-12,5.0,1.0,0.08333333333333333,12
2018-10-13,,0.0,0.0,3
2018-10-14,,0.0,0.0,5
2018-10-15,3.0,1.0,0.16666666666666666,6
2018-10-16,,0.0,0.0,18
2018-10-17,3.5,2.0,0.2857142857142857,7
2018-10-18,3.0,2.0,0.25,8
2018-10-19,,0.0,0.0,3
2018-10-20,3.0,1.0,0.125,8
2018-10-21,,0.0,0.0,4
2018-10-22,5.0,1.0,0.25,4
2018-10-23,,0.0,0.0,8
2018-10-25,,0.0,0.0,5
2018-10-26,,0.0,0.0,1
2018-10-27,,0.0,0.0,4
2018-10-28,4.0,1.0,1.0,1
2018-10-29,,0.0,0.0,2
2018-10-30,2.0,1.0,0.5,2
2018-10-31,,0.0,0.0,1
2018-11-01,2.0,1.0,0.2,5
2018-11-02,4.0,1.0,0.125,8
2018-11-03,4.0,1.0,0.25,4
2018-11-05,5.0,1.0,0.25,4
2018-11-06,,0.0,0.0,8
2018-11-07,4.0,1.0,0.2,5
2018-11-08,4.0,1.0,0.25,4
2018-11-09,,0.0,0.0,1
2018-11-10,,0.0,0.0,3
2018-11-13,2.0,2.0,0.4,5
2018-11-14,,0.0,0.0,10
2018-11-15,,0.0,0.0,1
2018-11-16,,0.0,0.0,2
2018-11-17,,0.0,0.0,1
2018-11-18,4.0,1.0,0.14285714285714285,7
2018-11-19,,0.0,0.0,3
2018-11-20,4.0,1.0,0.5,2
2018-11-21,,0.0,0.0,4
2018-11-22,3.0,1.0,0.25,4
2018-11-23,,0.0,0.0,4
2018-11-24,,0.0,0.0,2
2018-11-25,,0.0,0.0,3
2018-11-26,,0.0,0.0,3
2018-11-27,,0.0,0.0,4
2018-11-28,,0.0,0.0,5
2018-11-29,,0.0,0.0,5
2018-11-30,2.0,1.0,0.3333333333333333,3
2018-12-01,,0.0,0.0,2
2018-12-02,,0.0,0.0,1
2018-12-03,,0.0,0.0,6
2018-12-04,5.0,1.0,0.2,5
2018-12-05,,0.0,0.0,3
2018-12-06,,0.0,0.0,5
2018-12-07,,0.0,0.0,5
2018-12-09,,0.0,0.0,3
2018-12-10,4.0,2.0,0.5,4
2018-12-11,4.0,1.0,0.125,8
2018-12-12,,0.0,0.0,2
2018-12-13,,0.0,0.0,7
2018-12-14,,0.0,0.0,4
2018-12-15,,0.0,0.0,6
2018-12-16,,0.0,0.0,7
2018-12-17,4.0,1.0,0.3333333333333333,3
2018-12-18,,0.0,0.0,3
2018-12-19,,0.0,0.0,6
2018-12-20,4.0,1.0,0.25,4
2018-12-21,,0.0,0.0,1
2018-12-22,,0.0,0.0,1
2018-12-23,,0.0,0.0,2
2018-12-24,,0.0,0.0,1
2018-12-25,,0.0,0.0,4
2018-12-27,,0.0,0.0,4
2018-12-28,,0.0,0.0,3
2018-12-29,,0.0,0.0,3
2018-12-30,,0.0,0.0,2
2018-12-31,,0.0,0.0,1
2019-01-01,,0.0,0.0,3
2019-01-02,,0.0,0.0,1
2019-01-03,,0.0,0.0,2
2019-01-04,4.0,1.0,0.14285714285714285,7
2019-01-05,,0.0,0.0,1
2019-01-06,,0.0,0.0,3
2019-01-08,,0.0,0.0,2
