Week,Rating,Comments,% Total,Total
2018-09-21,3.68,125.0,0.12147716229348883,1029
2018-09-28,4.0,9.0,0.07563025210084033,119
2018-10-05,3.8846153846153846,26.0,0.15028901734104047,173
2018-10-12,3.5,6.0,0.1016949152542373,59
2018-10-19,4.0,2.0,0.0625,32
2018-10-26,2.6666666666666665,3.0,0.1875,16
2018-11-02,4.2,5.0,0.15151515151515152,33
2018-11-09,2.0,2.0,0.1,20
2018-11-16,3.6666666666666665,3.0,0.13043478260869565,23
2018-11-23,,0.0,0.0,26
2018-11-30,3.5,2.0,0.08,25
2018-12-07,4.0,3.0,0.10344827586206896,29
2018-12-14,4.0,2.0,0.06060606060606061,33
2018-12-21,,0.0,0.0,13
2018-12-28,,0.0,0.0,15
2019-01-04,4.0,1.0,0.07692307692307693,13
