Date,Rating,Comments,% Total,Total
2018-09-21,3.547169811320755,53.0,0.08255451713395638,642
2018-09-22,3.4705882352941178,17.0,0.1259259259259259,135
2018-09-23,3.3636363636363638,11.0,0.12941176470588237,85
2018-09-24,4.25,4.0,0.04819277108433735,83
2018-09-25,3.5,4.0,0.18181818181818182,22
2018-09-26,4.0,3.0,0.08333333333333333,36
2018-09-27,,0.0,0.0,26
2018-09-28,3.0,1.0,0.08333333333333333,12
2018-09-29,,0.0,0.0,10
2018-09-30,3.0,1.0,0.058823529411764705,17
2018-10-01,4.0,1.0,0.125,8
2018-10-02,3.5,2.0,0.05405405405405406,37
2018-10-03,,0.0,0.0,24
2018-10-04,5.0,1.0,0.09090909090909091,11
2018-10-05,5.0,1.0,0.06666666666666667,15
2018-10-06,,0.0,0.0,3
2018-10-07,,0.0,0.0,4
2018-10-08,3.3333333333333335,6.0,0.05714285714285714,105
2018-10-09,,0.0,0.0,30
2018-10-10,5.0,1.0,0.07692307692307693,13
2018-10-11,,0.0,0.0,3
2018-10-12,4.0,1.0,0.08333333333333333,12
2018-10-13,,0.0,0.0,3
2018-10-14,,0.0,0.0,5
2018-10-15,2.0,1.0,0.16666666666666666,6
2018-10-16,4.0,1.0,0.05555555555555555,18
2018-10-17,4.0,2.0,0.2857142857142857,7
2018-10-18,3.0,1.0,0.125,8
2018-10-19,,0.0,0.0,3
2018-10-20,2.5,2.0,0.25,8
2018-10-21,3.0,1.0,0.25,4
2018-10-22,,0.0,0.0,4
2018-10-23,3.0,1.0,0.125,8
2018-10-25,4.5,2.0,0.4,5
2018-10-26,,0.0,0.0,1
2018-10-27,,0.0,0.0,4
2018-10-28,,0.0,0.0,1
2018-10-29,,0.0,0.0,2
2018-10-30,,0.0,0.0,2
2018-10-31,,0.0,0.0,1
2018-11-01,3.0,1.0,0.2,5
2018-11-02,,0.0,0.0,8
2018-11-03,,0.0,0.0,4
2018-11-05,,0.0,0.0,4
2018-11-06,,0.0,0.0,8
2018-11-07,,0.0,0.0,5
2018-11-08,4.0,1.0,0.25,4
2018-11-09,,0.0,0.0,1
2018-11-10,,0.0,0.0,3
2018-11-13,,0.0,0.0,5
2018-11-14,4.0,1.0,0.1,10
2018-11-15,,0.0,0.0,1
2018-11-16,,0.0,0.0,2
2018-11-17,4.0,1.0,1.0,1
2018-11-18,,0.0,0.0,7
2018-11-19,4.0,1.0,0.3333333333333333,3
2018-11-20,,0.0,0.0,2
2018-11-21,5.0,1.0,0.25,4
2018-11-22,,0.0,0.0,4
2018-11-23,4.0,1.0,0.25,4
2018-11-24,,0.0,0.0,2
2018-11-25,,0.0,0.0,3
2018-11-26,,0.0,0.0,3
2018-11-27,,0.0,0.0,4
2018-11-28,,0.0,0.0,5
2018-11-29,4.0,1.0,0.2,5
2018-11-30,,0.0,0.0,3
2018-12-01,,0.0,0.0,2
2018-12-02,,0.0,0.0,1
2018-12-03,,0.0,0.0,6
2018-12-04,,0.0,0.0,5
2018-12-05,,0.0,0.0,3
2018-12-06,,0.0,0.0,5
2018-12-07,3.0,1.0,0.2,5
2018-12-09,,0.0,0.0,3
2018-12-10,,0.0,0.0,4
2018-12-11,,0.0,0.0,8
2018-12-12,,0.0,0.0,2
2018-12-13,,0.0,0.0,7
2018-12-14,,0.0,0.0,4
2018-12-15,,0.0,0.0,6
2018-12-16,,0.0,0.0,7
2018-12-17,,0.0,0.0,3
2018-12-18,,0.0,0.0,3
2018-12-19,4.0,1.0,0.16666666666666666,6
2018-12-20,,0.0,0.0,4
2018-12-21,,0.0,0.0,1
2018-12-22,,0.0,0.0,1
2018-12-23,,0.0,0.0,2
2018-12-24,5.0,1.0,1.0,1
2018-12-25,,0.0,0.0,4
2018-12-27,3.0,1.0,0.25,4
2018-12-28,,0.0,0.0,3
2018-12-29,4.0,1.0,0.3333333333333333,3
2018-12-30,,0.0,0.0,2
2018-12-31,,0.0,0.0,1
2019-01-01,,0.0,0.0,3
2019-01-02,,0.0,0.0,1
2019-01-03,,0.0,0.0,2
2019-01-04,4.0,1.0,0.14285714285714285,7
2019-01-05,,0.0,0.0,1
2019-01-06,,0.0,0.0,3
2019-01-08,,0.0,0.0,2
